[Test data]

Record,Mode,Location,Points,Counts,Date & Time,Sample Time,Interval Time,Ch1 Size, Ch1 Data ,Ch2 Size, Ch2 Data,Ch3 Size,Ch3 Data ,Unit,
0655,ISO,003,1,AVG,2021-06-07 15:36:56,00:01:00,00:01:30,0.5um,2502430,2.5um,12356,5.0um,1056,/m3,
,,,,1,2021-06-07 15:36:56,00:01:00,00:01:30,0.5um,5155597,2.5um,54032,5.0um,25073,/m3,
,,,,2,2021-06-07 15:38:26,00:01:00,00:01:30,0.5um,5324401,2.5um,36374,5.0um,13420,/m3,
,,,,3,2021-06-07 15:39:56,00:01:00,00:01:30,0.5um,4864956,2.5um,28252,5.0um,5297,/m3,
,,,,4,2021-06-07 15:41:26,00:01:00,00:01:30,0.5um,4749124,2.5um,20836,5.0um,4591,/m3,
,,,,5,2021-06-07 15:42:56,00:01:00,00:01:30,0.5um,4670726,2.5um,20129,5.0um,3531,/m3,
,,,,6,2021-06-07 15:44:26,00:01:00,00:01:30,0.5um,4527701,2.5um,17304,5.0um,3885,/m3,
,,,,7,2021-06-07 15:45:56,00:01:00,00:01:30,0.5um,4359250,2.5um,12007,5.0um,1413,/m3,
,,,,8,2021-06-07 15:47:26,00:01:00,00:01:30,0.5um,4340886,2.5um,13773,5.0um,2119,/m3,
,,,,9,2021-06-07 15:48:56,00:01:00,00:01:30,0.5um,4241652,2.5um,13066,5.0um,1059,/m3,
,,,,10,2021-06-07 15:50:26,00:01:00,00:01:30,0.5um,4149480,2.5um,9182,5.0um,706,/m3,
,,,,11,2021-06-07 15:51:56,00:01:00,00:01:30,0.5um,4139239,2.5um,13420,5.0um,353,/m3,
,,,,12,2021-06-07 15:53:26,00:01:00,00:01:30,0.5um,4045302,2.5um,11301,5.0um,706,/m3,
,,,,13,2021-06-07 15:54:56,00:01:00,00:01:30,0.5um,4058015,2.5um,10594,5.0um,1413,/m3,
,,,,14,2021-06-07 15:56:26,00:01:00,00:01:30,0.5um,4048127,2.5um,12007,5.0um,3531,/m3,
,,,,15,2021-06-07 15:57:56,00:01:00,00:01:30,0.5um,4077791,2.5um,15538,5.0um,1059,/m3,
,,,,16,2021-06-07 15:59:26,00:01:00,00:01:30,0.5um,4017403,2.5um,12360,5.0um,706,/m3,
,,,,17,2021-06-07 16:00:56,00:01:00,00:01:30,0.5um,3927704,2.5um,16951,5.0um,1766,/m3,
,,,,18,2021-06-07 16:02:26,00:01:00,00:01:30,0.5um,3881441,2.5um,12007,5.0um,1059,/m3,
,,,,19,2021-06-07 16:03:56,00:01:00,00:01:30,0.5um,3774085,2.5um,8122,5.0um,1413,/m3,
,,,,20,2021-06-07 16:05:26,00:01:00,00:01:30,0.5um,3813990,2.5um,8829,5.0um,353,/m3,
,,,,21,2021-06-07 16:06:56,00:01:00,00:01:30,0.5um,3730294,2.5um,7769,5.0um,353,/m3,
,,,,22,2021-06-07 16:08:26,00:01:00,00:01:30,0.5um,3788211,2.5um,6710,5.0um,353,/m3,
,,,,23,2021-06-07 16:09:56,00:01:00,00:01:30,0.5um,3689329,2.5um,7063,5.0um,353,/m3,
,,,,24,2021-06-07 16:11:26,00:01:00,00:01:30,0.5um,3670259,2.5um,8476,5.0um,706,/m3,
,,,,25,2021-06-07 16:12:56,00:01:00,00:01:30,0.5um,3695686,2.5um,6357,5.0um,0,/m3,
,,,,26,2021-06-07 16:14:26,00:01:00,00:01:30,0.5um,3611284,2.5um,15185,5.0um,1413,/m3,
,,,,27,2021-06-07 16:15:56,00:01:00,00:01:30,0.5um,3648364,2.5um,8829,5.0um,1059,/m3,
,,,,28,2021-06-07 16:17:26,00:01:00,00:01:30,0.5um,3492273,2.5um,9182,5.0um,1413,/m3,
,,,,29,2021-06-07 16:18:56,00:01:00,00:01:30,0.5um,3515934,2.5um,9888,5.0um,353,/m3,
,,,,30,2021-06-07 16:20:26,00:01:00,00:01:30,0.5um,3538535,2.5um,7063,5.0um,0,/m3,
,,,,31,2021-06-07 16:21:56,00:01:00,00:01:30,0.5um,3463315,2.5um,13066,5.0um,1766,/m3,
