[Test data]

Record,Mode,Location,Points,Counts,Date & Time,Sample Time,Interval Time,Ch1 Size, Ch1 Data ,Ch2 Size, Ch2 Data,Ch3 Size,Ch3 Data ,Unit,
0647,ISO,003,1,AVG,2021-06-07 15:27:02,00:01:00,00:01:00,0.5um,5381832,2.5um,34918,5.0um,8696,/m3,
,,,,1,2021-06-07 15:27:02,00:01:00,00:01:00,0.5um,5681080,2.5um,47675,5.0um,10948,/m3,
,,,,2,2021-06-07 15:28:02,00:01:00,00:01:00,0.5um,5473076,2.5um,32136,5.0um,4238,/m3,
,,,,3,2021-06-07 15:29:02,00:01:00,00:01:00,0.5um,5342412,2.5um,28605,5.0um,6004,/m3,
,,,,4,2021-06-07 15:30:02,00:01:00,00:01:00,0.5um,5520398,2.5um,37434,5.0um,10594,/m3,
,,,,5,2021-06-07 15:31:02,00:01:00,00:01:00,0.5um,5363954,2.5um,34962,5.0um,10594,/m3,
,,,,6,2021-06-07 15:32:02,00:01:00,00:01:00,0.5um,5225873,2.5um,32136,5.0um,7769,/m3,
,,,,7,2021-06-07 15:33:02,00:01:00,00:01:00,0.5um,5184908,2.5um,31077,5.0um,6710,/m3,
,,,,8,2021-06-07 15:34:02,00:01:00,00:01:00,0.5um,5262953,2.5um,35315,5.0um,12713,/m3,
,,,,AVG,,,,,5381832,,34918,,8696,/m3
,,,,MAX,,,,,5681080,,47675,,12713,/m3
,,,,MIN,,,,,5184908,,28605,,4238,/m3
,,,,95%UCL,,,,,----,,----,,----,/m3
