[Test data]

Record,Mode,Location,Points,Counts,Date & Time,Sample Time,Interval Time,Ch1 Size, Ch1 Data ,Ch2 Size, Ch2 Data,Ch3 Size,Ch3 Data ,Unit,
5716,ISO,003,1,AVG,2021-07-28 13:22:47,00:00:10,00:00:10,0.5um,13243310,2.5um,549497,5.0um,371851,/m3,
,,,,1,2021-07-28 13:22:47,00:00:10,00:00:10,0.5um,12151797,2.5um,61448,5.0um,27545,/m3,
,,,,2,2021-07-28 13:22:57,00:00:10,00:00:10,0.5um,12181461,2.5um,69923,5.0um,21189,/m3,
,,,,3,2021-07-28 13:23:07,00:00:10,00:00:10,0.5um,12370042,2.5um,50853,5.0um,21189,/m3,
,,,,4,2021-07-28 13:23:17,00:00:10,00:00:10,0.5um,12770511,2.5um,42378,5.0um,21189,/m3,
,,,,5,2021-07-28 13:23:27,00:00:10,00:00:10,0.5um,12456916,2.5um,50853,5.0um,8476,/m3,
,,,,6,2021-07-28 13:23:37,00:00:10,00:00:10,0.5um,13175218,2.5um,63567,5.0um,14832,/m3,
,,,,7,2021-07-28 13:23:47,00:00:10,00:00:10,0.5um,12808651,2.5um,69923,5.0um,16951,/m3,
,,,,8,2021-07-28 13:23:57,00:00:10,00:00:10,0.5um,13073511,2.5um,88993,5.0um,38140,/m3,
,,,,9,2021-07-28 13:24:07,00:00:10,00:00:10,0.5um,12423014,2.5um,57210,5.0um,23308,/m3,
,,,,10,2021-07-28 13:24:17,00:00:10,00:00:10,0.5um,13190050,2.5um,65685,5.0um,19070,/m3,
,,,,11,2021-07-28 13:24:27,00:00:10,00:00:10,0.5um,12789581,2.5um,84755,5.0um,29664,/m3,
,,,,12,2021-07-28 13:24:37,00:00:10,00:00:10,0.5um,12571336,2.5um,72042,5.0um,25427,/m3,
,,,,13,2021-07-28 13:24:47,00:00:10,00:00:10,0.5um,12990875,2.5um,74161,5.0um,16951,/m3,
,,,,14,2021-07-28 13:24:57,00:00:10,00:00:10,0.5um,12685755,2.5um,72042,5.0um,19070,/m3,
,,,,15,2021-07-28 13:25:07,00:00:10,00:00:10,0.5um,13173099,2.5um,76280,5.0um,16951,/m3,
,,,,16,2021-07-28 13:25:17,00:00:10,00:00:10,0.5um,13550260,2.5um,82636,5.0um,21189,/m3,
,,,,17,2021-07-28 13:25:27,00:00:10,00:00:10,0.5um,12751441,2.5um,61448,5.0um,12713,/m3,
,,,,18,2021-07-28 13:25:37,00:00:10,00:00:10,0.5um,12287405,2.5um,59329,5.0um,14832,/m3,
,,,,19,2021-07-28 13:25:47,00:00:10,00:00:10,0.5um,12463273,2.5um,82636,5.0um,19070,/m3,
,,,,20,2021-07-28 13:25:57,00:00:10,00:00:10,0.5um,12083993,2.5um,74161,5.0um,10594,/m3,
,,,,21,2021-07-28 13:26:07,00:00:10,00:00:10,0.5um,12497175,2.5um,78399,5.0um,16951,/m3,
,,,,22,2021-07-28 13:26:17,00:00:10,00:00:10,0.5um,12584049,2.5um,214007,5.0um,141965,/m3,
,,,,23,2021-07-28 13:26:27,00:00:10,00:00:10,0.5um,16654424,2.5um,4074613,5.0um,3116878,/m3,
,,,,24,2021-07-28 13:26:37,00:00:10,00:00:10,0.5um,15878913,2.5um,3070262,5.0um,2254492,/m3,
,,,,25,2021-07-28 13:26:47,00:00:10,00:00:10,0.5um,17590971,2.5um,4273788,5.0um,3280032,/m3,
,,,,26,2021-07-28 13:26:57,00:00:10,00:00:10,0.5um,16200983,2.5um,3110521,5.0um,2335010,/m3,
,,,,27,2021-07-28 13:27:07,00:00:10,00:00:10,0.5um,15395807,2.5um,2445192,5.0um,1898520,/m3,
,,,,28,2021-07-28 13:27:17,00:00:10,00:00:10,0.5um,14315177,2.5um,1599757,5.0um,1222596,/m3,
,,,,29,2021-07-28 13:27:27,00:00:10,00:00:10,0.5um,13649847,2.5um,902644,5.0um,675924,/m3,
,,,,30,2021-07-28 13:27:37,00:00:10,00:00:10,0.5um,14906345,2.5um,2055317,5.0um,1559498,/m3,
,,,,31,2021-07-28 13:27:47,00:00:10,00:00:10,0.5um,14001582,2.5um,1214120,5.0um,862386,/m3,
,,,,32,2021-07-28 13:27:57,00:00:10,00:00:10,0.5um,14308820,2.5um,1341253,5.0um,1044610,/m3,
,,,,33,2021-07-28 13:28:07,00:00:10,00:00:10,0.5um,14736835,2.5um,1629421,5.0um,1209882,/m3,
,,,,34,2021-07-28 13:28:17,00:00:10,00:00:10,0.5um,14173212,2.5um,1065798,5.0um,777630,/m3,
,,,,35,2021-07-28 13:28:27,00:00:10,00:00:10,0.5um,13408295,2.5um,1004351,5.0um,720420,/m3,
,,,,36,2021-07-28 13:28:37,00:00:10,00:00:10,0.5um,13588400,2.5um,959854,5.0um,631427,/m3,
,,,,37,2021-07-28 13:28:47,00:00:10,00:00:10,0.5um,13565092,2.5um,508532,5.0um,339021,/m3,
,,,,38,2021-07-28 13:28:57,00:00:10,00:00:10,0.5um,13306588,2.5um,519126,5.0um,341140,/m3,
,,,,39,2021-07-28 13:29:07,00:00:10,00:00:10,0.5um,13448554,2.5um,671686,5.0um,413182,/m3,
,,,,40,2021-07-28 13:29:17,00:00:10,00:00:10,0.5um,13253616,2.5um,697113,5.0um,432252,/m3,
