[Test data]

Record,Mode,Location,Points,Counts,Date & Time,Sample Time,Interval Time,Ch1 Size, Ch1 Data ,Ch2 Size, Ch2 Data,Ch3 Size,Ch3 Data ,Unit,
6522,ISO,003,1,AVG,2021-07-29 18:49:57,00:00:10,00:00:10,0.5um,4259349,2.5um,1325677,5.0um,642316,/m3,
,,,,1,2021-07-29 18:49:57,00:00:10,00:00:10,0.5um,2682506,2.5um,548791,5.0um,243672,/m3,
,,,,2,2021-07-29 18:50:07,00:00:10,00:00:10,0.5um,2445192,2.5um,428014,5.0um,199175,/m3,
,,,,3,2021-07-29 18:50:17,00:00:10,00:00:10,0.5um,1548904,2.5um,190700,5.0um,76280,/m3,
,,,,4,2021-07-29 18:50:27,00:00:10,00:00:10,0.5um,1483218,2.5um,175867,5.0um,72042,/m3,
,,,,5,2021-07-29 18:50:37,00:00:10,00:00:10,0.5um,1470505,2.5um,146203,5.0um,69923,/m3,
,,,,6,2021-07-29 18:50:47,00:00:10,00:00:10,0.5um,1381512,2.5um,139846,5.0um,67804,/m3,
,,,,7,2021-07-29 18:50:57,00:00:10,00:00:10,0.5um,1419652,2.5um,141965,5.0um,63567,/m3,
,,,,8,2021-07-29 18:51:07,00:00:10,00:00:10,0.5um,2801164,2.5um,1120889,5.0um,737371,/m3,
,,,,9,2021-07-29 18:51:17,00:00:10,00:00:10,0.5um,10927082,2.5um,5576901,5.0um,3474969,/m3,
,,,,10,2021-07-29 18:51:27,00:00:10,00:00:10,0.5um,12454797,2.5um,5898972,5.0um,3496158,/m3,
,,,,11,2021-07-29 18:51:37,00:00:10,00:00:10,0.5um,12162391,2.5um,5784552,5.0um,3498277,/m3,
,,,,12,2021-07-29 18:51:47,00:00:10,00:00:10,0.5um,11437733,2.5um,5432817,5.0um,3241892,/m3,
,,,,13,2021-07-29 18:51:57,00:00:10,00:00:10,0.5um,10660103,2.5um,5055656,5.0um,3042717,/m3,
,,,,14,2021-07-29 18:52:07,00:00:10,00:00:10,0.5um,11255509,2.5um,5155244,5.0um,2951605,/m3,
,,,,15,2021-07-29 18:52:17,00:00:10,00:00:10,0.5um,9969347,2.5um,4536530,5.0um,2635891,/m3,
,,,,16,2021-07-29 18:52:27,00:00:10,00:00:10,0.5um,8829388,2.5um,3972907,5.0um,2332891,/m3,
,,,,17,2021-07-29 18:52:37,00:00:10,00:00:10,0.5um,8589954,2.5um,3619053,5.0um,2137953,/m3,
,,,,18,2021-07-29 18:52:47,00:00:10,00:00:10,0.5um,7916149,2.5um,3375381,5.0um,1981156,/m3,
,,,,19,2021-07-29 18:52:57,00:00:10,00:00:10,0.5um,7394903,2.5um,3171969,5.0um,1801051,/m3,
,,,,20,2021-07-29 18:53:07,00:00:10,00:00:10,0.5um,7083428,2.5um,2868968,5.0um,1603995,/m3,
,,,,21,2021-07-29 18:53:17,00:00:10,00:00:10,0.5um,7295316,2.5um,3110521,5.0um,1756554,/m3,
,,,,22,2021-07-29 18:53:27,00:00:10,00:00:10,0.5um,6125692,2.5um,2496045,5.0um,1379393,/m3,
,,,,23,2021-07-29 18:53:37,00:00:10,00:00:10,0.5um,5555713,2.5um,2233303,5.0um,1214120,/m3,
,,,,24,2021-07-29 18:53:47,00:00:10,00:00:10,0.5um,5417985,2.5um,1917590,5.0um,1019183,/m3,
,,,,25,2021-07-29 18:53:57,00:00:10,00:00:10,0.5um,5352300,2.5um,1981156,5.0um,1067917,/m3,
,,,,26,2021-07-29 18:54:07,00:00:10,00:00:10,0.5um,4566194,2.5um,1798932,5.0um,974686,/m3,
,,,,27,2021-07-29 18:54:17,00:00:10,00:00:10,0.5um,4314047,2.5um,1648491,5.0um,851791,/m3,
,,,,28,2021-07-29 18:54:27,00:00:10,00:00:10,0.5um,4360662,2.5um,1682393,5.0um,853910,/m3,
,,,,29,2021-07-29 18:54:37,00:00:10,00:00:10,0.5um,4578907,2.5um,1595519,5.0um,828483,/m3,
,,,,30,2021-07-29 18:54:47,00:00:10,00:00:10,0.5um,4148774,2.5um,1415414,5.0um,724658,/m3,
,,,,31,2021-07-29 18:54:57,00:00:10,00:00:10,0.5um,3464375,2.5um,1220477,5.0um,569980,/m3,
,,,,32,2021-07-29 18:55:07,00:00:10,00:00:10,0.5um,3445305,2.5um,1241666,5.0um,633546,/m3,
,,,,33,2021-07-29 18:55:17,00:00:10,00:00:10,0.5um,3506752,2.5um,966211,5.0um,476749,/m3,
,,,,34,2021-07-29 18:55:27,00:00:10,00:00:10,0.5um,3288507,2.5um,934428,5.0um,464035,/m3,
,,,,35,2021-07-29 18:55:37,00:00:10,00:00:10,0.5um,3089332,2.5um,845435,5.0um,408945,/m3,
,,,,36,2021-07-29 18:55:47,00:00:10,00:00:10,0.5um,2773618,2.5um,614476,5.0um,275455,/m3,
,,,,37,2021-07-29 18:55:57,00:00:10,00:00:10,0.5um,2648604,2.5um,536078,5.0um,220364,/m3,
,,,,38,2021-07-29 18:56:07,00:00:10,00:00:10,0.5um,2570206,2.5um,495819,5.0um,218245,/m3,
,,,,39,2021-07-29 18:56:17,00:00:10,00:00:10,0.5um,2515115,2.5um,504294,5.0um,216126,/m3,
,,,,40,2021-07-29 18:56:27,00:00:10,00:00:10,0.5um,2445192,2.5um,442847,5.0um,197056,/m3,
,,,,41,2021-07-29 18:56:37,00:00:10,00:00:10,0.5um,2407052,2.5um,434371,5.0um,161035,/m3,
,,,,42,2021-07-29 18:56:47,00:00:10,00:00:10,0.5um,2330772,2.5um,358091,5.0um,135609,/m3,
,,,,43,2021-07-29 18:56:57,00:00:10,00:00:10,0.5um,2328653,2.5um,358091,5.0um,148322,/m3,
,,,,44,2021-07-29 18:57:07,00:00:10,00:00:10,0.5um,1906995,2.5um,362329,5.0um,156797,/m3,
,,,,45,2021-07-29 18:57:17,00:00:10,00:00:10,0.5um,1987513,2.5um,324189,5.0um,110182,/m3,
,,,,46,2021-07-29 18:57:27,00:00:10,00:00:10,0.5um,1995988,2.5um,218245,5.0um,74161,/m3,
,,,,47,2021-07-29 18:57:37,00:00:10,00:00:10,0.5um,2250254,2.5um,250028,5.0um,95350,/m3,
,,,,48,2021-07-29 18:57:47,00:00:10,00:00:10,0.5um,2190926,2.5um,258504,5.0um,80518,/m3,
,,,,49,2021-07-29 18:57:57,00:00:10,00:00:10,0.5um,3727116,2.5um,1000113,5.0um,487343,/m3,
,,,,50,2021-07-29 18:58:07,00:00:10,00:00:10,0.5um,8350520,2.5um,3017290,5.0um,1453554,/m3,
,,,,51,2021-07-29 18:58:17,00:00:10,00:00:10,0.5um,6382077,2.5um,2180331,5.0um,1118770,/m3,
,,,,52,2021-07-29 18:58:27,00:00:10,00:00:10,0.5um,6013391,2.5um,2061674,5.0um,1010707,/m3,
,,,,53,2021-07-29 18:58:37,00:00:10,00:00:10,0.5um,5066250,2.5um,1536191,5.0um,764917,/m3,
,,,,54,2021-07-29 18:58:47,00:00:10,00:00:10,0.5um,4356424,2.5um,1216239,5.0um,578455,/m3,
,,,,55,2021-07-29 18:58:57,00:00:10,00:00:10,0.5um,4672138,2.5um,1305232,5.0um,584812,/m3,
,,,,56,2021-07-29 18:59:07,00:00:10,00:00:10,0.5um,4606453,2.5um,1281925,5.0um,608120,/m3,
,,,,57,2021-07-29 18:59:17,00:00:10,00:00:10,0.5um,3652955,2.5um,925952,5.0um,381399,/m3,
,,,,58,2021-07-29 18:59:27,00:00:10,00:00:10,0.5um,2979150,2.5um,557266,5.0um,228839,/m3,
