[Test data]

Record,Mode,Location,Points,Counts,Date & Time,Sample Time,Interval Time,Ch1 Size, Ch1 Data ,Ch2 Size, Ch2 Data,Ch3 Size,Ch3 Data ,Unit,
5336,ISO,003,1,AVG,2021-07-27 14:24:12,00:00:10,00:00:10,0.5um,4911219,2.5um,47887,5.0um,7346,/m3,
,,,,1,2021-07-27 14:24:12,00:00:10,00:00:10,0.5um,4784439,2.5um,48734,5.0um,14832,/m3,
,,,,2,2021-07-27 14:24:22,00:00:10,00:00:10,0.5um,4572551,2.5um,46615,5.0um,12713,/m3,
,,,,3,2021-07-27 14:24:32,00:00:10,00:00:10,0.5um,4911572,2.5um,52972,5.0um,14832,/m3,
,,,,4,2021-07-27 14:24:42,00:00:10,00:00:10,0.5um,4867075,2.5um,65685,5.0um,10594,/m3,
,,,,5,2021-07-27 14:24:52,00:00:10,00:00:10,0.5um,4981495,2.5um,67804,5.0um,2119,/m3,
,,,,6,2021-07-27 14:25:02,00:00:10,00:00:10,0.5um,4809866,2.5um,44497,5.0um,12713,/m3,
,,,,7,2021-07-27 14:25:12,00:00:10,00:00:10,0.5um,4831054,2.5um,52972,5.0um,6357,/m3,
,,,,8,2021-07-27 14:25:22,00:00:10,00:00:10,0.5um,4960306,2.5um,55091,5.0um,12713,/m3,
,,,,9,2021-07-27 14:25:32,00:00:10,00:00:10,0.5um,5131936,2.5um,57210,5.0um,10594,/m3,
,,,,10,2021-07-27 14:25:42,00:00:10,00:00:10,0.5um,4837411,2.5um,48734,5.0um,8476,/m3,
,,,,11,2021-07-27 14:25:52,00:00:10,00:00:10,0.5um,4852243,2.5um,48734,5.0um,8476,/m3,
,,,,12,2021-07-27 14:26:02,00:00:10,00:00:10,0.5um,4843768,2.5um,57210,5.0um,10594,/m3,
,,,,13,2021-07-27 14:26:12,00:00:10,00:00:10,0.5um,4875551,2.5um,31783,5.0um,4238,/m3,
,,,,14,2021-07-27 14:26:22,00:00:10,00:00:10,0.5um,4839530,2.5um,48734,5.0um,6357,/m3,
,,,,15,2021-07-27 14:26:32,00:00:10,00:00:10,0.5um,4892502,2.5um,48734,5.0um,6357,/m3,
,,,,16,2021-07-27 14:26:42,00:00:10,00:00:10,0.5um,4911572,2.5um,44497,5.0um,6357,/m3,
,,,,17,2021-07-27 14:26:52,00:00:10,00:00:10,0.5um,4890383,2.5um,57210,5.0um,8476,/m3,
,,,,18,2021-07-27 14:27:02,00:00:10,00:00:10,0.5um,4871313,2.5um,36021,5.0um,2119,/m3,
,,,,19,2021-07-27 14:27:12,00:00:10,00:00:10,0.5um,5000565,2.5um,42378,5.0um,6357,/m3,
,,,,20,2021-07-27 14:27:22,00:00:10,00:00:10,0.5um,5093796,2.5um,29664,5.0um,2119,/m3,
,,,,21,2021-07-27 14:27:32,00:00:10,00:00:10,0.5um,5095915,2.5um,61448,5.0um,4238,/m3,
,,,,22,2021-07-27 14:27:42,00:00:10,00:00:10,0.5um,4945474,2.5um,63567,5.0um,2119,/m3,
,,,,23,2021-07-27 14:27:52,00:00:10,00:00:10,0.5um,4983614,2.5um,55091,5.0um,6357,/m3,
,,,,24,2021-07-27 14:28:02,00:00:10,00:00:10,0.5um,4960306,2.5um,55091,5.0um,12713,/m3,
,,,,25,2021-07-27 14:28:12,00:00:10,00:00:10,0.5um,5136174,2.5um,38140,5.0um,4238,/m3,
,,,,26,2021-07-27 14:28:22,00:00:10,00:00:10,0.5um,4907334,2.5um,42378,5.0um,2119,/m3,
,,,,27,2021-07-27 14:28:32,00:00:10,00:00:10,0.5um,4985733,2.5um,27545,5.0um,2119,/m3,
,,,,28,2021-07-27 14:28:42,00:00:10,00:00:10,0.5um,4860719,2.5um,21189,5.0um,2119,/m3,
,,,,29,2021-07-27 14:28:52,00:00:10,00:00:10,0.5um,4936999,2.5um,38140,5.0um,10594,/m3,
,,,,30,2021-07-27 14:29:02,00:00:10,00:00:10,0.5um,4765369,2.5um,48734,5.0um,6357,/m3,
,,,,AVG,,,,,4911219,,47887,,7346,/m3
,,,,MAX,,,,,5136174,,67804,,14832,/m3
,,,,MIN,,,,,4572551,,21189,,2119,/m3
,,,,95%UCL,,,,,----,,----,,----,/m3
